district,district_label,color
PIX,PIX,#7570b3
LWT,LWT,#7570b3
KWD,KWD,#7570b3
OKW,OKW,#7570b3
ARV,ARV,#7570b3
ID4,ID4,#7570b3
COB,COB,#7570b3
NKN,NKN,#7570b3
DLE,DLE,#7570b3
RRB,RRB,#7570b3
TUL,TUL,#7570b3
WRM,WRM,#7570b3
SSJ,SSJ,#7570b3
KND,KND,#1b9e77
SFW,SFW,#1b9e77
COF,COF,#1b9e77
KRT,KRT,#1b9e77
OTL,OTL,#1b9e77
TBA,TBA,#1b9e77
PRT,PRT,#1b9e77
OFK,OFK,#1b9e77
SOC,SOC,#1b9e77
LDS,LDS,#1b9e77
OXV,OXV,#1b9e77
LND,LND,#1b9e77
SAU,SAU,#1b9e77
SMI,SMI,#1b9e77
EXE,EXE,#d95f02
DLR,DLR,#d95f02
HML,HML,#d95f02
TPD,TPD,#d95f02
BDM,BDM,#d95f02
SOB,SOB,#d95f02
CCA,CCA,#d95f02
LHL,LHL,#d95f02
TJC,TJC,#d95f02
BLR,BLR,#d95f02
CWO,CWO,#d95f02
KCWA,KCWA,#d95f02
BVA,BVA,#d95f02
FRS,FRS,#d95f02
