,alfalfa,almond,apple,citrus,corn,cotton,deciduous_misc,field_misc,grain,grape,melon,onion,peach,pepper,pistachio,potatoe,squash,strawberry,subtropical_misc,tomato,vegetable_small,walnut
0,4.654561580783295,27.230351511407324,1.10957,0.049,0.0,11.011290990817816,1.77581,8.16741597016044,1.5157340326527344,14.384766551401512,0.26852591170825335,0.7317495122712462,0.223,0.071,1.5305,2.397145126536837,0.0,0.0,0.08,0.07032643678160919,0.0753823754789272,0.028
1,4.641952594091783,29.719936075963123,1.10947,0.048,0.4145104895104897,6.901939471072141,1.65981,8.609231282071207,2.180618870986589,13.84494496088046,0.193,0.9441109971518841,0.257,0.055,1.5305,1.813399417674562,0.0,0.0,0.021,0.0,0.13477584059775838,0.175
2,2.9579519315137874,29.91468766869537,1.1942399999999997,0.0,0.6725,5.480216161948362,1.40681,8.102564513107481,1.7500146091156052,14.001330000000001,0.23660231037616916,0.35661000000000004,0.218,0.055,2.4705,1.9159428052432128,0.0,0.0,0.016,0.318,0.496,0.064
3,3.1082112396233392,29.770415637449645,1.1893317583826573,0.0,1.4181664325898862,7.903849997529298,1.462594024421153,7.109185360481913,0.4074,13.718158397113982,0.082,0.08327,0.217,0.0370136698212408,2.4685,2.1251319977755867,0.00267,0.0,0.019364879074658253,0.555786605736637,0.157,0.032
4,2.312055632823366,29.779793608184132,1.1892399999999996,0.0,0.9243587760778861,8.781340933943733,1.23681,4.38472,0.6861999999999999,13.211701048970882,0.0,0.0,0.198,0.055,2.6285,1.39262,0.01844,0.0,0.016,0.7273999999999999,0.0,0.004
5,1.7862843673178197,30.234461338566145,1.1236727691680837,0.0,1.8381613471167952,8.921569182519937,0.983,7.374597887220806,0.44573898660504524,13.475591135811229,0.0,0.0,0.198,0.05,2.5585,2.051055888041318,0.0,0.0,0.016,0.5698670976328202,0.0,0.0
6,3.443374480530933,32.12319903379769,1.1283591380449647,0.0,1.90236825785932,7.508673938654242,0.824,6.721889075086762,1.976959032652792,8.338974045801526,0.0,0.0,0.089,0.05,2.6785,2.4931660726296903,0.0,0.00125,0.0,0.5213969249420767,0.0,0.083
7,3.4964263565891467,36.08146057372903,1.15379,0.0,0.47,8.509911363177993,0.9045399999999999,5.669690814482114,0.7625720192970366,8.669698172539135,0.0,0.0,0.09013,0.075,2.603551359516616,2.1110093406689323,0.0,0.0,0.0,0.279,0.0,0.027
8,3.7586283406754775,36.444871495213484,1.1196480293789193,0.0,0.7319687518355361,6.9032985940068885,0.8453817698124504,7.2818706582405035,1.690655913978495,8.656184725003998,0.0,0.0,0.04122,0.06797615170011188,2.934402001928723,1.5381635682254269,0.0,0.0015,0.0,0.0,0.0,0.09
9,6.826264778681189,40.078883649684016,1.13105,0.0,1.1248889518831657,2.901032990959261,0.88275,6.441109543681728,1.5686765671253302,9.541770148834209,0.0,0.0,0.04122,0.08,2.867551359516616,1.9554316120555866,0.0,0.0015,0.3017313525705841,0.3870090450083104,0.0,0.068
10,5.584594962629955,40.85147759167318,1.1850500000000002,0.0,1.27066842528997,1.914067528598772,0.85575,6.017016005087865,2.135897527892849,9.682536968671624,0.0,0.084,0.04122,0.075,2.9435,2.080230990155788,0.0,0.0,0.31695,0.0,0.009000000000000001,0.068
11,5.981514261953422,43.15131863768596,1.22125,0.0,0.8745531891764846,0.9376,0.9948200000000003,4.660941097441916,2.4524556231226002,9.707653136166874,0.06,0.296,0.04122,0.238,3.0645513595166163,2.065791584758572,0.0,0.0015,0.2794011101775458,0.1,0.0,0.017
12,4.297573531025322,44.418481057026376,1.2185638351156198,0.0,0.2331,0.8113190184049078,1.0186793216223278,4.143290323030788,1.7931529710873475,9.585605095514941,0.07799408951040428,0.177,0.04122,0.303,3.0742975460122697,1.580473162523261,0.0,0.0,0.31456,0.5696561435470128,0.02573390557939914,0.085
13,2.8763363268624973,45.64995528334611,0.9196398221933464,0.0,0.45,1.9612257273653453,0.99132,3.408700400459056,1.9988967583350614,8.924427779722873,0.04,0.8456254228115275,0.04122,0.248,2.9480999999999997,2.2162329112698282,0.0,0.001,0.31456,0.49298000000000003,0.0672995676343422,0.034
14,4.40293634697652,47.13818003571885,0.9216100552486188,0.0,0.29776313714888547,2.6726043555141663,0.9937600000000002,3.846793625919605,1.5961766921124063,9.378904163490128,0.11,0.35435317514191284,0.04122,0.097,3.120931088547306,2.171765169193586,0.0,0.0,0.5675821549880163,0.30167,0.0503,0.085
15,4.48289768975465,46.17075172377257,0.9356300074261102,0.0,0.3144305192516892,2.310141776286217,0.8149682384164547,4.287058269915935,1.2637053247487309,9.232012066898324,0.005,0.14827690094140256,0.002,0.181,4.0323,1.7918373406099954,0.0,0.0,0.31456,0.34043670914210616,0.06761343283582089,0.034
16,2.416367440686361,50.40017268094575,0.920880043538636,0.0,0.208,1.2933610717747144,0.9181344097237292,3.457612869165643,2.2840666155999556,11.031445165909862,0.0,0.14566232185836236,0.005,0.115,4.46947665184471,2.192132559938193,0.0,0.0,0.0,0.0,0.018028169014084508,0.034
17,2.83323,49.27320110260407,0.8771999999999999,0.0,0.46321563989892084,0.305,0.44694,2.217,1.0584,10.250966859981473,0.0,0.04,0.005,0.094,4.909436397515528,1.2098,0.0,0.0,0.0,0.53,0.057300000000000004,0.017
18,1.061591836734694,51.03074993836201,0.49892106318528945,0.0,0.034,0.349,0.5190672170314433,3.479550776280732,0.7556151603498543,9.644411790683238,0.017463556851311953,0.13965889212827992,0.16259206910244922,0.0,4.933837699290675,1.8777499999999994,0.0,0.0,0.0,0.493,0.062,0.034
19,0.7080738916256157,50.205931514841936,0.19424332539052158,0.0,0.0,0.1370453201970443,0.619946650781043,2.9069819007593836,0.87,9.332776153738383,0.0,0.128,0.08972332539052157,0.0,4.966216397515528,1.3500881182933369,0.0,0.0,0.0,0.5668034014666876,0.2105,0.034
